impression_time,spend_usd
2023-02-19 01:24:00+00:00,0.9113
2023-01-01 00:08:00+00:00,6.55
2023-03-16 02:02:00+00:00,13.78
2023-06-28 22:08:00+00:00,4.5475
2023-04-02 19:30:00+00:00,7.0137
2023-06-04 22:39:00+00:00,8.98
2023-03-31 05:29:00+00:00,7.8362
2023-01-31 06:47:00+00:00,10.3875
2023-05-18 05:36:00+00:00,9.44
2023-01-05 04:52:00+00:00,0.805
2023-01-27 02:12:00+00:00,7.9325
2023-01-15 14:27:00+00:00,11.38
2023-03-23 21:03:00+00:00,9.3763
2023-06-21 03:33:00+00:00,9.5638
2023-02-17 23:06:00+00:00,12.04
2023-04-01 18:04:00+00:00,3.9125
2023-02-08 02:39:00+00:00,2.5725
2023-02-09 15:31:00+00:00,6.28
2023-01-07 06:18:00+00:00,2.8075
2023-05-27 02:12:00+00:00,7.5825
2023-05-26 01:03:00+00:00,8.4
2023-04-18 11:06:00+00:00,1.2338
2023-02-28 22:59:00+00:00,2.4975
2023-06-01 07:13:00+00:00,14.12
2023-03-02 12:08:00+00:00,5.225
2023-05-07 06:52:00+00:00,12.9575
2023-04-21 02:41:00+00:00,7.3
2023-05-30 17:47:00+00:00,5.2613
2023-01-26 01:12:00+00:00,11.6312
2023-05-21 08:20:00+00:00,5.9
2023-02-05 23:05:00+00:00,11.4187
2023-05-12 23:10:00+00:00,10.4388
2023-01-13 00:53:00+00:00,14.54
2023-05-27 14:20:00+00:00,4.8575
2023-01-15 02:02:00+00:00,11.1925
2023-02-28 22:34:00+00:00,15.06
2023-04-02 19:38:00+00:00,7.0137
2023-01-30 05:38:00+00:00,8.8863
2023-02-23 05:16:00+00:00,15.36
2023-01-29 04:46:00+00:00,8.585
2023-06-10 16:48:00+00:00,3.65
2023-04-13 18:31:00+00:00,7.14
2023-05-09 20:01:00+00:00,11.635
2023-04-29 10:59:00+00:00,6.3225
2023-01-18 05:36:00+00:00,11.44
2023-06-09 15:31:00+00:00,8.8488
2023-02-20 02:07:00+00:00,3.2625
2023-02-03 21:04:00+00:00,13.76
2023-05-06 05:26:00+00:00,0.6562
2023-03-31 05:38:00+00:00,9.6862
2023-05-23 10:37:00+00:00,12.74
2023-05-08 19:43:00+00:00,8.4838
2023-05-25 12:03:00+00:00,11.405
2023-02-26 20:16:00+00:00,10.62
2023-06-21 03:50:00+00:00,3.1637
2023-02-20 14:07:00+00:00,8.8875
2023-02-17 23:58:00+00:00,10.84
2023-04-21 14:32:00+00:00,1.9375
2023-03-03 13:51:00+00:00,5.7763
2023-05-28 15:03:00+00:00,14.44
2023-02-09 15:31:00+00:00,4.9488
2023-06-14 20:23:00+00:00,5.355
2023-01-22 21:54:00+00:00,11.92
2023-05-28 15:38:00+00:00,2.4087
2023-03-16 14:36:00+00:00,6.6175
2023-05-19 06:54:00+00:00,9.06
2023-05-19 18:11:00+00:00,2.5725
2023-05-05 04:09:00+00:00,4.705
2023-01-30 17:38:00+00:00,15.28
2023-03-20 18:19:00+00:00,4.7225
2023-06-10 16:05:00+00:00,7.2
2023-03-05 15:09:00+00:00,5.96
2023-02-21 15:07:00+00:00,11.3387
2023-02-08 02:22:00+00:00,10.26
2023-03-10 08:52:00+00:00,10.86
2023-04-20 13:32:00+00:00,11.9362
2023-05-30 05:38:00+00:00,9.7863
2023-05-18 05:36:00+00:00,14.64
2023-05-02 01:51:00+00:00,2.2012
2023-04-16 21:15:00+00:00,2.4062
2023-03-02 12:25:00+00:00,6.7
2023-05-14 01:36:00+00:00,9.7912
2023-05-16 15:53:00+00:00,9.8187
2023-02-04 22:13:00+00:00,6.18
2023-03-29 03:12:00+00:00,4.4337
