impression_id,age_group,gender,ad_category,platform,region,click_flag,spend_usd,impression_time
741337,25-34,M,Auto,Mobile,Southeast,0,15.48,2023-06-09 15:39:00+00:00
799885,55+,M,Finance,Tablet,South,0,15.48,2023-05-20 07:45:00+00:00
484714,45-54,M,Health,Web,West,1,15.48,2023-04-30 11:17:00+00:00
827494,35-44,M,Finance,Mobile,Midwest,0,15.48,2023-04-10 15:22:00+00:00
142900,55+,F,Health,Tablet,South,0,15.48,2023-06-09 03:14:00+00:00
466120,35-44,F,Auto,Web,Midwest,0,15.48,2023-06-29 23:17:00+00:00
952789,25-34,M,Auto,Tablet,Southeast,0,15.48,2023-05-20 19:54:00+00:00
755338,55+,F,Auto,Mobile,South,0,15.48,2023-01-20 07:45:00+00:00
229792,55+,M,News,Tablet,South,1,15.48,2023-04-30 11:59:00+00:00
814945,55+,F,Auto,Web,South,0,15.48,2023-03-21 19:11:00+00:00
678277,25-34,M,Auto,Tablet,Southeast,0,15.48,2023-05-20 19:11:00+00:00
303112,35-44,M,Retail,Tablet,Midwest,0,15.48,2023-02-09 15:14:00+00:00
689422,35-44,M,News,Web,Midwest,0,15.48,2023-01-20 19:28:00+00:00
40108,35-44,F,Health,Mobile,Midwest,0,15.48,2023-04-10 03:57:00+00:00
661042,45-54,M,Auto,Tablet,West,1,15.48,2023-06-29 11:17:00+00:00
806884,35-44,M,Retail,Tablet,Midwest,1,15.48,2023-06-09 03:57:00+00:00
971203,35-44,F,Housing,Tablet,Midwest,0,15.48,2023-03-21 07:28:00+00:00
487048,25-34,M,Health,Web,Southeast,0,15.48,2023-03-01 11:17:00+00:00
93109,45-54,M,Health,Mobile,West,1,15.48,2023-04-30 23:42:00+00:00
458575,45-54,M,Housing,Mobile,West,0,15.48,2023-04-30 23:42:00+00:00
1528,45-54,M,Auto,Web,West,0,15.48,2023-02-09 03:05:00+00:00
706123,55+,F,Housing,Tablet,South,0,15.48,2023-01-20 19:45:00+00:00
334237,25-34,F,Finance,Web,Southeast,0,15.48,2023-04-30 23:51:00+00:00
932776,25-34,F,Finance,Web,Southeast,1,15.48,2023-03-01 23:34:00+00:00
624163,45-54,F,Retail,Mobile,West,0,15.48,2023-01-20 19:54:00+00:00
550930,35-44,M,Finance,Web,Midwest,0,15.48,2023-05-20 19:11:00+00:00
31753,55+,F,Housing,Tablet,South,0,15.48,2023-01-20 07:02:00+00:00
370723,35-44,F,Auto,Mobile,Midwest,0,15.48,2023-06-09 15:31:00+00:00
436567,35-44,F,Housing,Tablet,Midwest,0,15.48,2023-06-29 11:08:00+00:00
162250,35-44,M,Finance,Mobile,Midwest,1,15.48,2023-02-09 03:05:00+00:00
381589,35-44,F,Auto,Mobile,Midwest,0,15.48,2023-05-20 07:54:00+00:00
78448,25-34,F,News,Web,Southeast,0,15.48,2023-04-30 11:08:00+00:00
404848,45-54,M,Health,Tablet,West,0,15.48,2023-02-09 03:05:00+00:00
671899,25-34,M,Auto,Mobile,Southeast,0,15.48,2023-04-30 23:51:00+00:00
541984,18-24,F,Housing,Tablet,Northeast,0,15.48,2023-06-09 15:57:00+00:00
507658,55+,F,Health,Mobile,South,0,15.48,2023-06-29 11:51:00+00:00
490198,18-24,F,Auto,Web,Northeast,1,15.48,2023-04-10 03:39:00+00:00
725407,35-44,F,Auto,Web,Midwest,0,15.48,2023-06-09 03:57:00+00:00
525652,35-44,M,Retail,Mobile,Midwest,0,15.48,2023-02-09 15:48:00+00:00
501784,45-54,F,News,Mobile,West,0,15.48,2023-04-10 15:57:00+00:00
625751,25-34,F,Housing,Web,Northeast,1,15.48,2023-03-21 19:54:00+00:00
882701,25-34,F,Housing,Tablet,Northeast,1,15.48,2023-04-30 11:51:00+00:00
914566,45-54,F,Finance,Tablet,West,0,15.48,2023-04-10 03:14:00+00:00
416116,18-24,F,Auto,Web,Northeast,0,15.48,2023-06-09 15:57:00+00:00
724042,25-34,F,News,Mobile,Southeast,1,15.48,2023-03-01 23:34:00+00:00
839326,45-54,F,Finance,Web,West,0,15.48,2023-05-20 07:37:00+00:00
118549,35-44,F,Auto,Tablet,Midwest,0,15.48,2023-06-09 03:31:00+00:00
924889,18-24,M,Retail,Tablet,Northeast,1,15.48,2023-06-29 23:59:00+00:00
28186,25-34,F,Finance,Tablet,Southeast,1,15.48,2023-01-20 19:19:00+00:00
867715,25-34,M,Health,Tablet,Southeast,0,15.48,2023-03-21 07:37:00+00:00
691393,25-34,F,Retail,Web,Southeast,0,15.48,2023-05-20 19:37:00+00:00
595120,55+,F,Auto,Tablet,South,0,15.48,2023-04-10 15:31:00+00:00
32758,25-34,M,Health,Web,Southeast,0,15.48,2023-04-10 03:05:00+00:00
311326,55+,F,Auto,Mobile,South,0,15.48,2023-02-09 15:48:00+00:00
106288,18-24,F,Auto,Web,Northeast,0,15.48,2023-06-29 23:34:00+00:00
303151,25-34,F,Housing,Mobile,Northeast,1,15.48,2023-02-09 15:05:00+00:00
406471,45-54,M,Auto,Tablet,West,0,15.48,2023-05-20 19:02:00+00:00
570448,25-34,F,Finance,Web,Southeast,0,15.48,2023-05-20 07:02:00+00:00
731023,45-54,M,Housing,Tablet,West,0,15.48,2023-04-10 03:39:00+00:00
41242,45-54,F,Retail,Tablet,West,0,15.48,2023-04-30 11:59:00+00:00
446821,45-54,M,Auto,Mobile,West,0,15.48,2023-06-09 15:39:00+00:00
209746,18-24,F,Auto,Web,Northeast,1,15.48,2023-04-10 15:22:00+00:00
618598,18-24,F,Health,Mobile,Northeast,0,15.48,2023-06-29 11:59:00+00:00
781768,25-34,M,Housing,Tablet,Southeast,1,15.48,2023-06-29 23:51:00+00:00
643351,25-34,F,Housing,Web,Northeast,0,15.48,2023-03-01 11:08:00+00:00
163543,25-34,M,Housing,Web,Southeast,0,15.48,2023-05-20 07:11:00+00:00
661054,35-44,M,News,Tablet,Midwest,0,15.48,2023-01-20 19:11:00+00:00
406495,55+,M,News,Mobile,South,1,15.48,2023-04-10 03:05:00+00:00
245026,25-34,M,Auto,Web,Southeast,0,15.48,2023-05-20 07:02:00+00:00
627094,55+,M,Retail,Tablet,South,1,15.48,2023-05-20 19:19:00+00:00
749224,35-44,M,Retail,Mobile,Midwest,0,15.48,2023-02-09 15:57:00+00:00
247534,18-24,F,Housing,Tablet,Northeast,0,15.48,2023-01-20 07:02:00+00:00
972898,35-44,F,Auto,Web,Midwest,0,15.48,2023-01-20 07:02:00+00:00
851533,55+,M,News,Mobile,South,1,15.48,2023-04-10 03:14:00+00:00
778792,25-34,F,News,Mobile,Southeast,0,15.48,2023-06-29 11:17:00+00:00
844240,25-34,F,Retail,Web,Southeast,0,15.48,2023-04-10 15:05:00+00:00
714955,35-44,M,News,Web,Midwest,0,15.48,2023-04-10 03:57:00+00:00
800356,45-54,F,News,Tablet,West,1,15.48,2023-04-10 15:31:00+00:00
215335,55+,F,Auto,Mobile,South,0,15.48,2023-04-10 15:22:00+00:00
77026,35-44,F,Housing,Mobile,Midwest,0,15.48,2023-01-20 07:45:00+00:00
406876,18-24,M,Finance,Web,Northeast,0,15.48,2023-01-20 07:45:00+00:00
986908,18-24,M,Retail,Web,Northeast,0,15.48,2023-06-29 11:42:00+00:00
786043,18-24,F,Health,Mobile,Northeast,0,15.48,2023-01-20 19:45:00+00:00
736639,35-44,M,Retail,Web,Midwest,0,15.48,2023-03-01 23:25:00+00:00
280084,45-54,M,Housing,Mobile,West,0,15.48,2023-04-10 15:22:00+00:00
430030,18-24,F,Auto,Tablet,Northeast,0,15.48,2023-06-09 03:14:00+00:00
34648,55+,F,Auto,Tablet,South,1,15.48,2023-06-09 15:31:00+00:00
830482,35-44,M,Retail,Tablet,Midwest,0,15.48,2023-03-21 07:28:00+00:00
99850,45-54,F,News,Mobile,West,0,15.48,2023-04-30 11:08:00+00:00
42679,55+,M,Retail,Mobile,South,0,15.48,2023-06-29 11:42:00+00:00
3340,35-44,M,Retail,Web,Midwest,0,15.48,2023-01-20 07:54:00+00:00
114862,35-44,M,Retail,Mobile,Midwest,0,15.48,2023-06-29 23:08:00+00:00
615101,25-34,F,Housing,Web,Northeast,1,15.48,2023-06-09 03:22:00+00:00
537475,35-44,M,News,Mobile,Midwest,1,15.48,2023-03-21 07:02:00+00:00
564694,45-54,F,Finance,Mobile,West,0,15.48,2023-03-01 11:17:00+00:00
348583,35-44,F,Housing,Web,Midwest,0,15.48,2023-03-01 23:25:00+00:00
544339,45-54,F,Finance,Mobile,West,0,15.48,2023-02-09 15:48:00+00:00
819355,35-44,F,Auto,Web,Midwest,0,15.48,2023-03-21 19:19:00+00:00
629548,35-44,F,Health,Web,Midwest,0,15.48,2023-03-01 11:25:00+00:00
926137,55+,M,News,Mobile,South,0,15.48,2023-06-09 03:05:00+00:00
344101,25-34,F,Housing,Mobile,Northeast,0,15.48,2023-05-20 07:54:00+00:00
339826,25-34,M,Health,Tablet,Southeast,0,15.48,2023-02-09 03:22:00+00:00
328627,45-54,F,News,Tablet,West,0,15.48,2023-03-21 07:45:00+00:00
664570,55+,M,News,Mobile,South,0,15.48,2023-03-21 07:19:00+00:00
573511,18-24,M,Finance,Mobile,Northeast,0,15.48,2023-04-10 15:22:00+00:00
954951,25-34,F,Housing,Tablet,Northeast,0,15.48,2023-05-20 19:02:00+00:00
869602,25-34,M,Health,Mobile,Southeast,0,15.48,2023-01-20 19:19:00+00:00
119731,45-54,F,Finance,Mobile,West,1,15.48,2023-03-01 23:25:00+00:00
342577,18-24,F,Housing,Tablet,Northeast,1,15.48,2023-02-09 03:05:00+00:00
375538,55+,M,News,Mobile,South,0,15.48,2023-04-30 11:17:00+00:00
314797,18-24,F,Housing,Tablet,Northeast,0,15.48,2023-06-29 23:08:00+00:00
644623,55+,M,Retail,Web,South,0,15.48,2023-03-01 23:08:00+00:00
306745,45-54,M,Auto,Mobile,West,0,15.48,2023-04-30 11:25:00+00:00
920050,35-44,F,Auto,Mobile,Midwest,0,15.48,2023-01-20 19:45:00+00:00
363529,35-44,F,Health,Mobile,Midwest,1,15.48,2023-01-20 19:11:00+00:00
912754,25-34,M,Health,Mobile,Southeast,0,15.48,2023-06-29 11:34:00+00:00
912934,18-24,F,Housing,Tablet,Northeast,0,15.48,2023-04-10 03:31:00+00:00
412939,35-44,F,Auto,Mobile,Midwest,0,15.48,2023-03-21 19:28:00+00:00
941284,18-24,M,News,Web,Northeast,0,15.48,2023-04-30 11:42:00+00:00
191527,35-44,F,Housing,Tablet,Midwest,0,15.48,2023-04-10 15:14:00+00:00
377281,55+,F,Health,Tablet,South,0,15.48,2023-01-20 07:37:00+00:00
200404,35-44,M,News,Tablet,Midwest,1,15.48,2023-03-21 19:37:00+00:00
548902,18-24,M,Retail,Mobile,Northeast,0,15.48,2023-03-21 19:37:00+00:00
711901,25-34,F,Housing,Mobile,Northeast,0,15.48,2023-02-09 15:05:00+00:00
586861,18-24,M,News,Mobile,Northeast,1,15.48,2023-04-10 15:14:00+00:00
452965,25-34,F,Finance,Web,Southeast,0,15.48,2023-02-09 03:57:00+00:00
377176,55+,M,News,Mobile,South,0,15.48,2023-03-01 11:42:00+00:00
830740,18-24,F,Health,Tablet,Northeast,0,15.48,2023-03-21 19:02:00+00:00
909670,45-54,F,News,Mobile,West,1,15.48,2023-04-30 11:25:00+00:00
275785,35-44,F,Health,Web,Midwest,0,15.48,2023-06-09 03:22:00+00:00
273583,55+,F,Auto,Web,South,1,15.48,2023-03-21 07:28:00+00:00
159550,35-44,M,Retail,Tablet,Midwest,1,15.48,2023-01-20 07:37:00+00:00
451498,45-54,M,Auto,Tablet,West,0,15.48,2023-04-30 23:25:00+00:00
164788,45-54,M,Health,Web,West,0,15.48,2023-06-29 11:25:00+00:00
170878,35-44,M,Finance,Tablet,Midwest,0,15.48,2023-03-01 23:34:00+00:00
903532,45-54,F,News,Mobile,West,0,15.48,2023-03-01 11:17:00+00:00
627400,55+,F,Auto,Mobile,South,0,15.48,2023-02-09 15:31:00+00:00
403936,18-24,F,Health,Mobile,Northeast,0,15.48,2023-04-10 15:05:00+00:00
796903,25-34,F,News,Web,Southeast,0,15.48,2023-03-01 11:08:00+00:00
848725,18-24,M,News,Mobile,Northeast,1,15.48,2023-06-29 23:42:00+00:00
982804,25-34,F,News,Web,Southeast,0,15.48,2023-04-10 03:22:00+00:00
632779,35-44,F,Health,Web,Midwest,0,15.48,2023-06-29 23:51:00+00:00
68347,45-54,F,News,Web,West,0,15.48,2023-04-10 03:14:00+00:00
66721,45-54,F,Finance,Tablet,West,1,15.48,2023-04-30 11:08:00+00:00
66532,55+,F,Auto,Web,South,1,15.48,2023-05-20 07:54:00+00:00
794301,25-34,F,Housing,Web,Northeast,0,15.48,2023-01-20 19:02:00+00:00
234658,18-24,M,Retail,Tablet,Northeast,0,15.48,2023-04-30 11:51:00+00:00
895912,35-44,F,Health,Web,Midwest,0,15.48,2023-03-01 11:42:00+00:00
974731,18-24,F,Housing,Mobile,Northeast,0,15.48,2023-06-29 11:34:00+00:00
978430,18-24,M,Finance,Mobile,Northeast,0,15.48,2023-03-21 07:54:00+00:00
233278,18-24,M,News,Mobile,Northeast,1,15.48,2023-01-20 07:19:00+00:00
971695,35-44,F,Auto,Web,Midwest,0,15.48,2023-01-20 19:11:00+00:00
561793,25-34,F,Retail,Tablet,Southeast,0,15.48,2023-05-20 07:45:00+00:00
63274,55+,M,Retail,Web,South,1,15.48,2023-02-09 15:05:00+00:00
222651,25-34,F,Housing,Tablet,Northeast,0,15.48,2023-04-10 15:05:00+00:00
497902,25-34,M,Housing,Web,Southeast,0,15.48,2023-03-21 19:11:00+00:00
962368,18-24,M,Finance,Web,Northeast,0,15.48,2023-03-21 07:11:00+00:00
286090,35-44,M,News,Tablet,Midwest,0,15.48,2023-03-01 11:34:00+00:00
478108,55+,M,Finance,Web,South,0,15.48,2023-03-21 07:54:00+00:00
884221,45-54,F,Retail,Tablet,West,1,15.48,2023-04-10 15:57:00+00:00
888701,25-34,F,Housing,Web,Northeast,0,15.48,2023-04-30 11:42:00+00:00
884944,45-54,F,News,Mobile,West,1,15.48,2023-02-09 15:57:00+00:00
389497,18-24,M,Finance,Tablet,Northeast,0,15.48,2023-03-01 11:17:00+00:00
