region,ad_category,avg_spend
Midwest,Auto,7.99753869814894
Midwest,Finance,7.987887856858116
Midwest,Health,7.9963410030687205
Midwest,Housing,8.014014175155241
Midwest,News,8.006964692969083
Midwest,Retail,8.002144059330085
Northeast,Auto,7.954232893517088
Northeast,Finance,8.019212251917692
Northeast,Health,8.001078288426209
Northeast,Housing,8.950862382885104
Northeast,News,8.009668400941521
Northeast,Retail,7.986994116035554
South,Auto,8.001955908396946
South,Finance,7.998451818375483
South,Health,8.013256228165096
South,Housing,8.003247405321005
South,News,7.987134812370126
South,Retail,8.013466949437003
Southeast,Auto,7.956920909760138
Southeast,Finance,8.030810882416
Southeast,Health,8.003239637179954
Southeast,Housing,7.991308071804014
Southeast,News,7.991050967801401
Southeast,Retail,8.000789519810114
West,Auto,7.951998888617489
West,Finance,7.991334340246929
West,Health,8.002855948257364
West,Housing,8.013859952382406
West,News,8.002514262855033
West,Retail,7.997245557568871
