impression_id,age_group,gender,ad_category,platform,region,click_flag,spend_usd,impression_time
100000,35-44,F,Housing,Mobile,Midwest,0,9.02,2023-02-06 12:30:00+00:00
100001,25-34,F,Housing,Web,Northeast,0,6.24,2023-04-08 01:39:00+00:00
100002,55+,F,Health,Tablet,South,0,10.6,2023-02-10 16:57:00+00:00
100003,55+,F,Housing,Tablet,South,0,12.3,2023-03-02 12:17:00+00:00
100004,55+,M,News,Web,South,0,4.2938,2023-01-16 03:02:00+00:00
100005,35-44,F,Health,Tablet,Midwest,0,10.6275,2023-01-03 14:17:00+00:00
100006,18-24,F,Housing,Mobile,Northeast,0,12.3,2023-02-10 04:22:00+00:00
100007,35-44,M,News,Web,Midwest,1,4.945,2023-02-26 20:08:00+00:00
100008,55+,M,Finance,Mobile,South,1,7.945,2023-05-17 04:10:00+00:00
100009,35-44,F,Housing,Tablet,Midwest,0,14.62,2023-02-06 12:39:00+00:00
100010,18-24,F,Auto,Tablet,Northeast,1,9.91,2023-02-18 00:32:00+00:00
100011,18-24,F,Health,Web,Northeast,1,5.2525,2023-06-12 18:48:00+00:00
100012,25-34,F,Retail,Mobile,Southeast,1,12.54,2023-06-02 20:30:00+00:00
100013,25-34,F,Finance,Web,Southeast,0,11.7387,2023-01-12 23:27:00+00:00
100014,18-24,M,News,Mobile,Northeast,0,10.1363,2023-03-31 05:47:00+00:00
100015,55+,M,News,Tablet,South,0,12.12,2023-04-22 15:07:00+00:00
100016,55+,F,Auto,Tablet,South,0,7.2287,2023-04-14 07:49:00+00:00
100017,35-44,F,Auto,Tablet,Midwest,0,0.7762,2023-01-22 21:28:00+00:00
100018,45-54,M,Housing,Mobile,West,0,15.26,2023-03-10 08:52:00+00:00
100019,55+,M,Retail,Tablet,South,1,5.4425,2023-06-04 10:47:00+00:00
100020,35-44,F,Health,Mobile,Midwest,0,3.71,2023-05-29 16:29:00+00:00
100021,35-44,F,Health,Mobile,Midwest,1,15.34,2023-02-22 04:33:00+00:00
100022,25-34,M,Housing,Mobile,Southeast,0,7.7588,2023-03-29 15:29:00+00:00
100023,25-34,F,News,Tablet,Southeast,0,9.6613,2023-04-20 01:07:00+00:00
100024,45-54,F,Retail,Mobile,West,1,6.38,2023-01-05 16:17:00+00:00
100025,18-24,F,Housing,Web,Northeast,0,9.6237,2023-05-20 19:02:00+00:00
100026,18-24,M,News,Tablet,Northeast,0,8.2925,2023-03-16 02:44:00+00:00
100027,35-44,M,Retail,Tablet,Midwest,1,13.52,2023-05-22 21:45:00+00:00
100028,55+,M,Retail,Mobile,South,0,12.0738,2023-03-01 11:51:00+00:00
100029,25-34,M,Housing,Tablet,Southeast,0,12.5862,2023-01-30 05:04:00+00:00
100030,25-34,F,News,Web,Southeast,0,8.18,2023-04-05 10:47:00+00:00
100031,35-44,M,Retail,Web,Midwest,1,1.7975,2023-03-20 06:19:00+00:00
100032,18-24,M,Finance,Mobile,Northeast,0,11.24,2023-06-02 08:30:00+00:00
100033,35-44,F,Housing,Mobile,Midwest,1,13.2,2023-03-27 13:29:00+00:00
100034,25-34,F,Retail,Mobile,Southeast,0,3.7325,2023-05-07 18:43:00+00:00
100035,55+,F,Housing,Tablet,South,0,10.0612,2023-05-10 09:52:00+00:00
100036,18-24,M,News,Mobile,Northeast,0,7.04,2023-04-08 01:31:00+00:00
100037,35-44,F,Health,Mobile,Midwest,0,4.0062,2023-05-06 05:35:00+00:00
100038,45-54,M,Housing,Tablet,West,0,3.0263,2023-03-23 21:28:00+00:00
100039,25-34,M,Auto,Tablet,Southeast,0,12.3,2023-06-10 16:31:00+00:00
100040,35-44,M,News,Web,Midwest,0,12.6675,2023-02-04 22:13:00+00:00
100041,18-24,F,Health,Tablet,Northeast,0,1.5137,2023-04-02 19:55:00+00:00
100042,35-44,M,News,Web,Midwest,0,11.26,2023-05-29 04:04:00+00:00
100043,18-24,F,Health,Web,Northeast,1,5.51,2023-05-29 16:21:00+00:00
100044,18-24,F,Housing,Tablet,Northeast,0,1.615,2023-04-03 20:21:00+00:00
100045,35-44,F,Housing,Mobile,Midwest,0,11.04,2023-06-27 21:08:00+00:00
100046,45-54,M,Health,Tablet,West,0,6.8125,2023-06-20 02:32:00+00:00
100047,35-44,M,News,Tablet,Midwest,0,4.9337,2023-01-28 03:38:00+00:00
100048,55+,F,Health,Tablet,South,0,13.36,2023-04-24 17:41:00+00:00
100049,55+,M,Retail,Tablet,South,0,8.6562,2023-03-27 13:03:00+00:00
100050,55+,F,Auto,Web,South,0,1.8513,2023-05-02 01:51:00+00:00
100051,25-34,F,Housing,Web,Northeast,0,10.66,2023-03-20 06:11:00+00:00
