impression_id,age_group,gender,ad_category,platform,region,click_flag,spend_usd,impression_time
401773,25-34,F,Finance,Mobile,Southeast,1,6.76,2023-01-24 11:54:00+00:00
401774,55+,F,Health,Web,South,0,2.9725,2023-04-09 02:14:00+00:00
401775,35-44,F,Auto,Tablet,Midwest,1,2.8037,2023-02-13 19:14:00+00:00
401776,18-24,F,Health,Tablet,Northeast,0,12.9,2023-05-31 06:04:00+00:00
401777,45-54,M,Auto,Web,West,0,0.6438,2023-04-26 19:16:00+00:00
401778,45-54,M,Auto,Web,West,1,8.8775,2023-05-03 14:00:00+00:00
401779,25-34,F,News,Tablet,Southeast,0,9.82,2023-06-06 12:05:00+00:00
401780,35-44,M,News,Web,Midwest,0,4.5362,2023-06-19 13:49:00+00:00
401781,45-54,M,Housing,Tablet,West,0,5.87,2023-05-17 16:19:00+00:00
401782,18-24,F,Auto,Web,Northeast,0,10.14,2023-02-02 08:04:00+00:00
401783,45-54,F,Retail,Mobile,West,0,2.0762,2023-05-22 21:20:00+00:00
401784,18-24,M,Finance,Web,Northeast,1,4.2637,2023-01-12 11:10:00+00:00
401785,45-54,F,News,Mobile,West,1,12.94,2023-06-02 20:21:00+00:00
401786,55+,M,News,Mobile,South,0,10.4688,2023-04-06 23:56:00+00:00
401787,25-34,F,Retail,Mobile,Southeast,1,2.3137,2023-06-01 19:30:00+00:00
401788,45-54,F,News,Mobile,West,1,14.1,2023-06-20 02:07:00+00:00
401789,18-24,F,Housing,Mobile,Northeast,0,2.9463,2023-06-27 21:51:00+00:00
401790,18-24,M,Finance,Tablet,Northeast,0,2.2563,2023-06-15 21:23:00+00:00
401791,35-44,M,News,Tablet,Midwest,0,14.12,2023-04-22 03:24:00+00:00
401792,18-24,M,Finance,Web,Northeast,0,0.8713,2023-02-27 09:42:00+00:00
401793,25-34,M,Health,Tablet,Southeast,0,8.015,2023-02-02 20:13:00+00:00
401794,25-34,F,Retail,Web,Southeast,0,8.8,2023-03-07 05:09:00+00:00
401795,18-24,M,Finance,Mobile,Northeast,0,4.4188,2023-04-26 07:42:00+00:00
401796,25-34,F,News,Tablet,Southeast,0,7.9662,2023-05-14 13:36:00+00:00
401797,55+,M,News,Web,South,0,9.68,2023-04-20 13:58:00+00:00
401798,18-24,M,Retail,Mobile,Northeast,0,9.2338,2023-03-09 19:01:00+00:00
401799,35-44,F,Health,Tablet,Midwest,0,1.8475,2023-02-28 22:59:00+00:00
401800,18-24,M,News,Web,Northeast,0,14.76,2023-03-25 23:46:00+00:00
401801,25-34,F,Housing,Web,Northeast,0,9.94,2023-02-12 18:06:00+00:00
