impression_id,age_group,gender,ad_category,platform,region,click_flag,spend_usd,impression_time
448973,55+,F,Housing,Tablet,South,0,2.805,2023-01-25 12:37:00+00:00
448977,18-24,F,Housing,Web,Northeast,1,5.8412,2023-04-24 17:16:00+00:00
449001,25-34,F,Housing,Tablet,Northeast,0,7.38,2023-01-15 14:53:00+00:00
449003,35-44,F,Housing,Tablet,Midwest,0,12.56,2023-02-18 00:41:00+00:00
449013,55+,F,Housing,Tablet,South,0,7.2838,2023-03-09 19:26:00+00:00
449024,35-44,F,Housing,Tablet,Midwest,0,11.0488,2023-03-21 07:02:00+00:00
449029,35-44,F,Housing,Web,Midwest,0,10.36,2023-01-04 15:17:00+00:00
449038,55+,F,Housing,Tablet,South,0,14.56,2023-04-04 09:04:00+00:00
449045,55+,F,Housing,Mobile,South,0,10.3575,2023-05-27 14:12:00+00:00
449049,55+,F,Housing,Tablet,South,0,6.535,2023-04-19 12:24:00+00:00
449050,35-44,F,Housing,Mobile,Midwest,0,11.98,2023-06-14 08:49:00+00:00
449051,25-34,F,Housing,Mobile,Northeast,0,10.42,2023-01-07 18:18:00+00:00
449058,35-44,F,Housing,Mobile,Midwest,0,9.865,2023-02-02 20:47:00+00:00
449099,55+,F,Housing,Web,South,1,4.765,2023-05-13 12:10:00+00:00
449101,25-34,F,Housing,Web,Northeast,0,7.58,2023-06-14 20:49:00+00:00
449103,35-44,F,Housing,Web,Midwest,1,11.0175,2023-03-16 14:19:00+00:00
449111,55+,F,Housing,Tablet,South,0,5.5812,2023-01-06 17:17:00+00:00
449112,18-24,F,Housing,Tablet,Northeast,0,2.0987,2023-03-01 23:25:00+00:00
449119,18-24,F,Housing,Mobile,Northeast,1,11.4,2023-01-16 15:53:00+00:00
449127,35-44,F,Housing,Web,Midwest,0,12.3625,2023-03-12 10:52:00+00:00
449141,18-24,F,Housing,Tablet,Northeast,0,5.78,2023-03-06 16:43:00+00:00
449151,25-34,F,Housing,Tablet,Northeast,0,10.9,2023-01-31 18:55:00+00:00
449161,18-24,F,Housing,Web,Northeast,0,9.0,2023-06-25 07:50:00+00:00
449170,18-24,F,Housing,Tablet,Northeast,1,11.74,2023-04-23 04:33:00+00:00
449186,55+,F,Housing,Mobile,South,0,3.5925,2023-06-24 18:16:00+00:00
449196,18-24,F,Housing,Web,Northeast,1,5.6,2023-05-01 00:25:00+00:00
449201,25-34,F,Housing,Tablet,Northeast,0,9.68,2023-05-30 17:38:00+00:00
449208,55+,F,Housing,Mobile,South,0,11.22,2023-06-06 00:39:00+00:00
449211,35-44,F,Housing,Tablet,Midwest,1,9.1975,2023-04-29 22:25:00+00:00
449212,18-24,F,Housing,Tablet,Northeast,1,10.68,2023-04-30 11:17:00+00:00
449217,35-44,F,Housing,Tablet,Midwest,1,3.6162,2023-02-23 05:50:00+00:00
449230,18-24,F,Housing,Web,Northeast,1,10.36,2023-02-13 19:49:00+00:00
449241,55+,F,Housing,Tablet,South,0,12.57,2023-02-26 08:08:00+00:00
449245,35-44,F,Housing,Tablet,Midwest,0,11.04,2023-06-27 09:33:00+00:00
449248,35-44,F,Housing,Tablet,Midwest,0,6.08,2023-01-10 21:09:00+00:00
449251,25-34,F,Housing,Tablet,Northeast,0,5.5,2023-05-01 12:25:00+00:00
449271,55+,F,Housing,Web,South,0,9.8488,2023-04-10 15:22:00+00:00
449291,18-24,F,Housing,Mobile,Northeast,1,4.9,2023-03-02 00:51:00+00:00
449297,55+,F,Housing,Mobile,South,0,11.6775,2023-03-24 22:46:00+00:00
449301,25-34,F,Housing,Web,Northeast,0,12.4,2023-05-26 13:46:00+00:00
449312,18-24,F,Housing,Tablet,Northeast,0,11.9588,2023-02-17 23:49:00+00:00
449316,55+,F,Housing,Mobile,South,0,6.2462,2023-02-07 13:39:00+00:00
449323,18-24,F,Housing,Mobile,Northeast,0,15.44,2023-03-19 05:02:00+00:00
449328,35-44,F,Housing,Mobile,Midwest,1,8.9325,2023-06-16 10:49:00+00:00
449333,35-44,F,Housing,Tablet,Midwest,0,5.8325,2023-05-07 18:43:00+00:00
449351,25-34,F,Housing,Tablet,Northeast,0,6.56,2023-02-23 05:50:00+00:00
449357,18-24,F,Housing,Tablet,Northeast,0,6.985,2023-03-30 04:21:00+00:00
449364,35-44,F,Housing,Web,Midwest,0,12.1475,2023-04-29 22:59:00+00:00
449392,18-24,F,Housing,Mobile,Northeast,0,11.38,2023-04-25 18:24:00+00:00
449401,25-34,F,Housing,Web,Northeast,0,10.58,2023-02-04 22:04:00+00:00
449413,55+,F,Housing,Mobile,South,1,12.08,2023-04-20 01:58:00+00:00
449415,18-24,F,Housing,Tablet,Northeast,0,3.6738,2023-04-30 11:34:00+00:00
449417,18-24,F,Housing,Web,Northeast,0,7.5862,2023-01-10 21:52:00+00:00
449419,55+,F,Housing,Mobile,South,0,6.28,2023-03-21 07:19:00+00:00
449421,35-44,F,Housing,Web,Midwest,0,1.5462,2023-04-28 21:16:00+00:00
449429,18-24,F,Housing,Mobile,Northeast,1,8.23,2023-01-25 00:54:00+00:00
449435,55+,F,Housing,Tablet,South,1,8.5813,2023-03-07 17:43:00+00:00
