impression_time,spend_usd
2023-01-23 10:54:00+00:00,8.6025
2023-04-18 11:32:00+00:00,11.64
2023-01-04 15:00:00+00:00,1.5288
2023-03-04 14:51:00+00:00,12.6775
2023-06-12 06:06:00+00:00,10.74
2023-04-13 18:31:00+00:00,9.0525
2023-03-11 09:35:00+00:00,1.5112
2023-05-21 08:45:00+00:00,11.5
2023-05-28 03:46:00+00:00,7.9837
2023-04-30 23:17:00+00:00,7.2988
2023-04-19 12:15:00+00:00,10.86
2023-01-23 22:11:00+00:00,3.9275
2023-03-31 17:38:00+00:00,1.5613
2023-02-08 14:05:00+00:00,7.86
2023-04-13 18:14:00+00:00,9.6025
2023-06-16 10:32:00+00:00,5.3825
2023-05-30 05:38:00+00:00,13.68
2023-04-23 04:07:00+00:00,10.515
2023-06-03 21:39:00+00:00,7.76
2023-06-02 20:56:00+00:00,12.14
2023-06-09 03:31:00+00:00,10.6237
2023-06-25 07:07:00+00:00,9.8187
2023-03-12 10:44:00+00:00,8.1
2023-05-08 07:35:00+00:00,0.7087
2023-01-14 13:27:00+00:00,10.5663
2023-05-17 04:36:00+00:00,13.42
2023-06-17 11:41:00+00:00,1.8337
2023-01-17 16:53:00+00:00,2.27
2023-03-16 14:36:00+00:00,12.98
2023-01-20 07:54:00+00:00,0.7488
2023-05-28 15:29:00+00:00,4.0088
2023-02-19 13:41:00+00:00,12.88
2023-06-19 01:49:00+00:00,6.7613
2023-02-18 12:15:00+00:00,5.685
2023-04-21 14:58:00+00:00,6.9
2023-03-31 17:47:00+00:00,9.4612
2023-01-07 18:00:00+00:00,1.8825
2023-06-27 21:16:00+00:00,8.24
2023-05-10 21:01:00+00:00,9.0862
2023-01-27 14:20:00+00:00,7.4075
2023-02-13 07:31:00+00:00,9.16
2023-03-13 11:18:00+00:00,2.4138
2023-05-04 03:34:00+00:00,6.6537
2023-03-21 19:11:00+00:00,12.68
2023-01-19 18:02:00+00:00,7.0225
2023-05-04 15:26:00+00:00,12.7287
2023-01-17 16:10:00+00:00,13.42
2023-04-05 22:30:00+00:00,2.3675
2023-02-12 06:23:00+00:00,0.6775
2023-05-03 14:00:00+00:00,10.74
2023-03-25 11:37:00+00:00,1.4038
2023-01-20 07:37:00+00:00,1.7488
2023-04-20 01:58:00+00:00,14.88
2023-06-10 04:40:00+00:00,11.325
2023-06-15 21:06:00+00:00,5.1063
2023-04-15 20:57:00+00:00,6.78
2023-06-21 03:24:00+00:00,2.6138
2023-02-18 00:41:00+00:00,10.76
2023-06-18 00:58:00+00:00,15.26
2023-06-09 15:22:00+00:00,5.0488
2023-01-13 12:44:00+00:00,3.565
2023-02-13 19:06:00+00:00,9.96
2023-06-08 02:39:00+00:00,11.9225
2023-01-31 18:04:00+00:00,1.7125
2023-03-05 03:34:00+00:00,8.36
2023-02-14 20:14:00+00:00,1.055
2023-06-29 11:25:00+00:00,9.1237
2023-03-23 21:20:00+00:00,8.72
2023-02-06 12:56:00+00:00,12.62
2023-02-19 01:15:00+00:00,3.6113
2023-05-13 12:36:00+00:00,6.54
2023-04-28 09:59:00+00:00,4.2713
2023-06-28 10:34:00+00:00,3.9225
2023-01-09 08:35:00+00:00,14.86
