platform,ad_category,avg
Mobile,Auto,0.252845080763583
Mobile,Finance,0.2510255054602469
Mobile,Health,0.2508399483108732
Mobile,Housing,0.25494940247510994
Mobile,News,0.25596248984715353
Mobile,Retail,0.2511938872970392
Tablet,Auto,0.25349330602092324
Tablet,Finance,0.2518504913215171
Tablet,Health,0.2515956465596753
Tablet,Housing,0.2501311991603254
Tablet,News,0.24967088422438383
Tablet,Retail,0.25010540208604476
Web,Auto,0.2514986678507993
Web,Finance,0.2497238382796966
Web,Health,0.24959154076331394
Web,Housing,0.25228241519541394
Web,News,0.2515069097324316
Web,Retail,0.2526700804681785
