impression_id,age_group,gender,ad_category,platform,region,click_flag,spend_usd,impression_time
657419,18-24,M,News,Tablet,Northeast,0,10.1037,2023-03-25 11:46:00+00:00
657420,25-34,M,Housing,Web,Southeast,1,9.6125,2023-04-21 02:07:00+00:00
657421,25-34,M,Housing,Web,Southeast,0,6.32,2023-04-12 17:05:00+00:00
657422,55+,F,Health,Mobile,South,0,2.5688,2023-01-16 15:19:00+00:00
657423,35-44,F,Auto,Mobile,Midwest,0,0.8075,2023-01-27 14:03:00+00:00
657424,55+,F,Health,Mobile,South,0,8.12,2023-02-21 15:07:00+00:00
657425,55+,F,Health,Tablet,South,0,12.0363,2023-03-31 05:04:00+00:00
657426,55+,F,Health,Mobile,South,1,4.185,2023-03-30 04:38:00+00:00
657427,18-24,M,Finance,Tablet,Northeast,0,14.5,2023-01-31 18:47:00+00:00
657428,45-54,F,Retail,Tablet,West,1,4.17,2023-02-06 00:30:00+00:00
657429,55+,M,Retail,Tablet,South,1,11.3763,2023-03-23 21:20:00+00:00
657430,25-34,F,Retail,Mobile,Southeast,0,11.22,2023-01-07 06:18:00+00:00
657431,45-54,M,Auto,Mobile,West,1,12.3287,2023-03-25 23:46:00+00:00
657432,25-34,M,Auto,Tablet,Southeast,0,11.3975,2023-04-29 22:25:00+00:00
657433,18-24,F,Housing,Mobile,Northeast,1,6.94,2023-04-03 08:38:00+00:00
657434,25-34,M,Health,Mobile,Southeast,0,7.85,2023-01-01 00:08:00+00:00
657435,45-54,F,Retail,Web,West,0,10.395,2023-05-17 04:19:00+00:00
657436,35-44,M,News,Mobile,Midwest,0,10.1,2023-01-11 22:52:00+00:00
657437,35-44,F,Auto,Mobile,Midwest,0,2.885,2023-01-09 20:09:00+00:00
657438,55+,M,News,Mobile,South,0,10.71,2023-05-29 16:55:00+00:00
657439,45-54,M,Housing,Web,West,0,14.08,2023-03-31 17:47:00+00:00
657440,55+,F,Housing,Mobile,South,1,5.46,2023-03-30 16:12:00+00:00
657441,25-34,M,Housing,Web,Southeast,0,3.545,2023-06-26 20:33:00+00:00
657442,35-44,F,Housing,Tablet,Midwest,0,7.02,2023-03-18 04:19:00+00:00
657443,35-44,M,News,Web,Midwest,0,1.105,2023-06-14 20:06:00+00:00
657444,45-54,F,Retail,Web,West,0,10.795,2023-02-26 20:59:00+00:00
657445,25-34,F,News,Tablet,Southeast,0,6.46,2023-05-29 04:04:00+00:00
657446,35-44,M,Finance,Mobile,Midwest,1,5.0137,2023-04-02 19:47:00+00:00
657447,45-54,M,Health,Web,West,0,4.8513,2023-01-02 01:08:00+00:00
657448,18-24,M,News,Tablet,Northeast,0,15.06,2023-02-08 14:48:00+00:00
657449,18-24,M,News,Web,Northeast,0,6.12,2023-06-06 00:22:00+00:00
657450,55+,F,Auto,Mobile,South,1,12.5838,2023-03-29 03:46:00+00:00
657451,25-34,F,Housing,Tablet,Northeast,1,13.24,2023-06-17 23:41:00+00:00
657452,35-44,M,Retail,Web,Midwest,0,7.31,2023-01-09 08:44:00+00:00
657453,55+,F,Housing,Mobile,South,0,4.0388,2023-05-12 23:44:00+00:00
657454,35-44,F,Auto,Mobile,Midwest,1,12.56,2023-05-14 01:19:00+00:00
657455,18-24,M,Retail,Mobile,Northeast,0,12.1687,2023-05-16 15:53:00+00:00
657456,35-44,M,Retail,Mobile,Midwest,0,7.1212,2023-03-19 17:28:00+00:00
657457,35-44,M,Finance,Mobile,Midwest,0,14.88,2023-01-10 21:27:00+00:00
657458,35-44,F,Housing,Mobile,Midwest,0,5.17,2023-04-27 08:42:00+00:00
