impression_id,age_group,gender,ad_category,platform,region,click_flag,spend_usd,impression_time
703101,25-34,F,Housing,Web,Northeast,0,14.22,2023-01-17 04:36:00+00:00
703112,55+,F,Housing,Mobile,South,0,11.8737,2023-03-21 19:54:00+00:00
703117,35-44,F,Housing,Web,Midwest,0,11.5,2023-02-10 04:40:00+00:00
703130,35-44,F,Housing,Web,Midwest,0,1.2288,2023-03-25 23:46:00+00:00
703136,55+,F,Housing,Tablet,South,1,7.6325,2023-05-27 02:20:00+00:00
703151,25-34,F,Housing,Mobile,Northeast,1,6.1,2023-04-21 14:32:00+00:00
703158,35-44,F,Housing,Web,Midwest,0,4.7575,2023-05-07 06:35:00+00:00
703159,55+,F,Housing,Web,South,0,8.82,2023-06-16 10:49:00+00:00
703166,18-24,F,Housing,Mobile,Northeast,0,1.0112,2023-01-10 09:44:00+00:00
703173,35-44,F,Housing,Mobile,Midwest,0,9.5425,2023-01-15 02:44:00+00:00
703179,55+,F,Housing,Mobile,South,0,4.0612,2023-01-30 17:21:00+00:00
703201,25-34,F,Housing,Mobile,Northeast,0,6.38,2023-03-26 12:37:00+00:00
703212,18-24,F,Housing,Mobile,Northeast,1,7.6463,2023-02-07 13:48:00+00:00
703217,35-44,F,Housing,Tablet,Midwest,1,8.5237,2023-04-30 11:59:00+00:00
703237,35-44,F,Housing,Web,Midwest,0,7.26,2023-05-29 04:04:00+00:00
703243,55+,F,Housing,Web,South,1,7.2,2023-02-15 09:49:00+00:00
703251,25-34,F,Housing,Mobile,Northeast,0,7.54,2023-06-12 06:40:00+00:00
703257,18-24,F,Housing,Mobile,Northeast,0,2.2588,2023-03-09 07:01:00+00:00
703264,18-24,F,Housing,Tablet,Northeast,0,15.18,2023-05-25 00:29:00+00:00
703271,55+,F,Housing,Tablet,South,1,3.8937,2023-02-25 19:59:00+00:00
703272,18-24,F,Housing,Mobile,Northeast,0,9.2238,2023-02-09 03:22:00+00:00
703289,55+,F,Housing,Mobile,South,0,2.1625,2023-04-21 02:41:00+00:00
703293,55+,F,Housing,Tablet,South,0,4.7862,2023-05-10 21:44:00+00:00
703294,18-24,F,Housing,Web,Northeast,1,5.52,2023-01-02 01:51:00+00:00
703298,18-24,F,Housing,Mobile,Northeast,1,2.4512,2023-05-22 09:03:00+00:00
703301,25-34,F,Housing,Mobile,Northeast,1,7.56,2023-05-04 03:17:00+00:00
703311,18-24,F,Housing,Tablet,Northeast,0,11.0938,2023-01-16 03:10:00+00:00
703317,35-44,F,Housing,Tablet,Midwest,0,2.0663,2023-01-14 13:36:00+00:00
703330,55+,F,Housing,Mobile,South,0,5.58,2023-05-25 12:29:00+00:00
703332,18-24,F,Housing,Tablet,Northeast,0,2.8687,2023-03-17 15:36:00+00:00
703336,55+,F,Housing,Tablet,South,0,8.18,2023-06-24 18:16:00+00:00
703339,18-24,F,Housing,Mobile,Northeast,0,8.4,2023-02-15 21:57:00+00:00
703346,55+,F,Housing,Tablet,South,1,9.225,2023-01-21 20:37:00+00:00
703348,55+,F,Housing,Web,South,1,8.48,2023-04-20 13:58:00+00:00
703349,18-24,F,Housing,Web,Northeast,0,7.9962,2023-03-19 05:11:00+00:00
703351,25-34,F,Housing,Web,Northeast,0,15.14,2023-01-23 22:37:00+00:00
703369,55+,F,Housing,Mobile,South,0,9.1,2023-05-21 08:02:00+00:00
703373,18-24,F,Housing,Mobile,Northeast,0,11.8325,2023-01-07 18:00:00+00:00
703374,55+,F,Housing,Web,South,0,5.9238,2023-03-21 19:02:00+00:00
703380,55+,F,Housing,Tablet,South,0,3.2175,2023-05-15 14:53:00+00:00
703381,18-24,F,Housing,Tablet,Northeast,0,13.74,2023-06-22 04:33:00+00:00
703391,55+,F,Housing,Mobile,South,0,8.205,2023-05-25 12:29:00+00:00
703395,55+,F,Housing,Mobile,South,1,9.2075,2023-04-17 22:40:00+00:00
703401,25-34,F,Housing,Tablet,Northeast,0,14.0,2023-01-06 17:52:00+00:00
703403,18-24,F,Housing,Tablet,Northeast,0,6.5812,2023-05-06 17:09:00+00:00
